Au,Ag,Cu,Pt,Al,24-bit color,R,G,B
0.25,0.3,0.2,0.1,0.15,15062732,229,214,204
0.15,0.25,0.4,0.1,0.1,15062729,229,214,201
0.2,0.45,0.1,0.1,0.15,15062726,229,214,198
0.15,0.35,0.3,0.05,0.15,15062724,229,214,196
0.2,0.4,0.15,0.1,0.15,15062724,229,214,196
0.5,0.05,0.15,0.15,0.15,15062721,229,214,193
0.2,0.25,0.3,0.1,0.15,15061961,229,211,201
0.25,0.25,0.25,0.1,0.15,15061961,229,211,201
0.2,0.3,0.25,0.1,0.15,15061958,229,211,198
0.5,0.05,0.1,0.3,0.05,15061956,229,211,196
0.15,0.2,0.45,0.1,0.1,15061449,229,209,201
0.25,0.2,0.3,0.1,0.15,15061446,229,209,198
0.15,0.3,0.35,0.05,0.15,15061439,229,209,191
0.2,0.2,0.35,0.1,0.15,15060678,229,206,198
0.2,0.15,0.45,0.1,0.1,15060663,229,206,183
0.25,0.15,0.35,0.1,0.15,15059391,229,201,191
0.2,0.1,0.55,0.05,0.1,15058095,229,196,175
0.2,0.2,0.45,0.05,0.1,15058090,229,196,170
0.25,0.05,0.5,0.05,0.15,15056042,229,188,170
0.05,0.55,0.1,0.1,0.2,14869974,226,229,214
0.05,0.65,0.05,0.1,0.15,14869974,226,229,214
0.05,0.35,0.05,0.4,0.15,14869208,226,226,216
0.05,0.6,0.1,0.1,0.15,14869203,226,226,211
0.05,0.3,0.1,0.4,0.15,14868694,226,224,214
0.05,0.45,0.05,0.35,0.1,14868694,226,224,214
0.1,0.4,0.05,0.35,0.1,14868691,226,224,211
0.1,0.45,0.05,0.35,0.05,14868691,226,224,211
0.15,0.15,0.05,0.5,0.15,14868689,226,224,209
0.1,0.55,0.1,0.1,0.15,14868686,226,224,206
0.25,0.15,0.05,0.45,0.1,14868684,226,224,204
0.05,0.05,0.5,0.3,0.1,14867926,226,221,214
0.05,0.2,0.3,0.35,0.1,14867926,226,221,214
0.1,0.45,0.05,0.3,0.1,14867926,226,221,214
0.1,0.45,0.15,0.25,0.05,14867926,226,221,214
0.05,0.15,0.35,0.35,0.1,14867923,226,221,211
0.05,0.25,0.15,0.4,0.15,14867923,226,221,211
0.05,0.55,0.05,0.3,0.05,14867921,226,221,209
0.15,0.4,0.15,0.25,0.05,14867921,226,221,209
0.05,0.45,0.05,0.15,0.3,14867918,226,221,206
0.15,0.4,0.05,0.35,0.05,14867918,226,221,206
0.2,0.4,0.1,0.25,0.05,14867918,226,221,206
0.25,0.1,0.05,0.5,0.1,14867916,226,221,204
0.25,0.35,0.05,0.3,0.05,14867916,226,221,204
0.3,0.3,0.05,0.3,0.05,14867908,226,221,196
0.4,0.35,0.05,0.1,0.1,14867905,226,221,193
0.05,0.2,0.2,0.4,0.15,14867411,226,219,211
0.05,0.3,0.2,0.35,0.1,14867411,226,219,211
0.1,0.35,0.1,0.35,0.1,14867411,226,219,211
0.05,0.25,0.25,0.35,0.1,14867409,226,219,209
0.05,0.5,0.2,0.1,0.15,14867406,226,219,206
0.15,0.05,0.05,0.7,0.05,14867406,226,219,206
0.3,0.05,0.05,0.5,0.1,14867404,226,219,204
0.05,0.35,0.4,0.05,0.15,14867401,226,219,201
0.1,0.5,0.15,0.1,0.15,14867401,226,219,201
0.15,0.5,0.05,0.25,0.05,14867396,226,219,196
0.35,0.25,0.05,0.3,0.05,14867391,226,219,191
0.4,0.2,0.05,0.3,0.05,14867388,226,219,188
0.45,0.15,0.05,0.3,0.05,14867383,226,219,183
0.4,0.15,0.05,0.3,0.1,14867381,226,219,181
0.05,0.25,0.4,0.25,0.05,14866641,226,216,209
0.05,0.5,0.15,0.15,0.15,14866641,226,216,209
0.05,0.35,0.35,0.1,0.15,14866636,226,216,204
0.35,0.05,0.05,0.45,0.1,14866630,226,216,198
0.15,0.45,0.05,0.3,0.05,14866623,226,216,191
0.45,0.1,0.1,0.3,0.05,14866618,226,216,186
0.05,0.1,0.55,0.25,0.05,14866121,226,214,201
0.1,0.45,0.2,0.1,0.15,14866118,226,214,198
0.5,0.1,0.1,0.15,0.15,14866101,226,214,181
0.5,0.2,0.1,0.1,0.1,14866093,226,214,173
0.1,0.3,0.4,0.05,0.15,14865350,226,211,198
